date,population,cases,deaths,casesper100k,deathsper100k
2020-01-23,5148714,0,0,0,0
2020-01-24,5148714,0,0,0,0
2020-01-25,5148714,0,0,0,0
2020-01-26,5148714,0,0,0,0
2020-01-27,5148714,0,0,0,0
2020-01-28,5148714,0,0,0,0
2020-01-29,5148714,0,0,0,0
2020-01-30,5148714,0,0,0,0
2020-01-31,5148714,0,0,0,0
2020-02-01,5148714,0,0,0,0
2020-02-02,5148714,0,0,0,0
2020-02-03,5148714,0,0,0,0
2020-02-04,5148714,0,0,0,0
2020-02-05,5148714,0,0,0,0
2020-02-06,5148714,0,0,0,0
2020-02-07,5148714,0,0,0,0
2020-02-08,5148714,0,0,0,0
2020-02-09,5148714,0,0,0,0
2020-02-10,5148714,0,0,0,0
2020-02-11,5148714,0,0,0,0
2020-02-12,5148714,0,0,0,0
2020-02-13,5148714,0,0,0,0
2020-02-14,5148714,0,0,0,0
2020-02-15,5148714,0,0,0,0
2020-02-16,5148714,0,0,0,0
2020-02-17,5148714,0,0,0,0
2020-02-18,5148714,0,0,0,0
2020-02-19,5148714,0,0,0,0
2020-02-20,5148714,0,0,0,0
2020-02-21,5148714,0,0,0,0
2020-02-22,5148714,0,0,0,0
2020-02-23,5148714,0,0,0,0
2020-02-24,5148714,0,0,0,0
2020-02-25,5148714,0,0,0,0
2020-02-26,5148714,0,0,0,0
2020-02-27,5148714,0,0,0,0
2020-02-28,5148714,0,0,0,0
2020-02-29,5148714,0,0,0,0
2020-03-01,5148714,0,0,0,0
2020-03-02,5148714,0,0,0,0
2020-03-03,5148714,0,0,0,0
2020-03-04,5148714,0,0,0,0
2020-03-05,5148714,0,0,0,0
2020-03-06,5148714,0,0,0,0
2020-03-07,5148714,2,0,0.03884465130516086,0
2020-03-08,5148714,0,0,0,0
2020-03-09,5148714,1,0,0.01942232565258043,0
2020-03-10,5148714,4,0,0.07768930261032173,0
2020-03-11,5148714,3,0,0.058266976957741294,0
2020-03-12,5148714,-3,0,-0.058266976957741294,0
2020-03-13,5148714,1,0,0.01942232565258043,0
2020-03-14,5148714,11,0,0.21364558217838472,0
2020-03-15,5148714,0,0,0,0
2020-03-16,5148714,11,1,0.21364558217838472,0.01942232565258043
2020-03-17,5148714,17,0,0.33017953609386735,0
2020-03-18,5148714,13,0,0.2524902334835456,0
2020-03-19,5148714,20,0,0.38844651305160866,0
2020-03-20,5148714,46,2,0.8934269800186998,0.03884465130516086
2020-03-21,5148714,48,0,0.9322716313238607,0
2020-03-22,5148714,22,0,0.42729116435676945,0
2020-03-23,5148714,102,2,1.9810772165632038,0.03884465130516086
2020-03-24,5148714,44,0,0.8545823287135389,0
2020-03-25,5148714,82,2,1.5926307035115952,0.03884465130516086
2020-03-26,5148714,0,2,0,0.03884465130516086
2020-03-27,5148714,118,4,2.291834427004491,0.07768930261032173
2020-03-28,5148714,118,2,2.291834427004491,0.03884465130516086
2020-03-29,5148714,114,1,2.214145124394169,0.01942232565258043
2020-03-30,5148714,151,2,2.932771173539645,0.03884465130516086
2020-03-31,5148714,158,4,3.0687274531077082,0.07768930261032173
2020-04-01,5148714,210,4,4.078688387041891,0.07768930261032173
2020-04-02,5148714,261,5,5.0692269953234925,0.09711162826290216
2020-04-03,5148714,146,3,2.835659545276743,0.058266976957741294
2020-04-04,5148714,217,6,4.214644666609954,0.11653395391548259
2020-04-05,5148714,132,4,2.563746986140617,0.07768930261032173
2020-04-06,5148714,183,4,3.554285594422219,0.07768930261032173
2020-04-07,5148714,185,3,3.5931302457273797,0.058266976957741294
2020-04-08,5148714,0,0,0,0
2020-04-09,5148714,376,16,7.3027944453702425,0.3107572104412869
2020-04-10,5148714,274,5,5.321717228807038,0.09711162826290216
2020-04-11,5148714,144,8,2.796814893971582,0.15537860522064345
2020-04-12,5148714,109,2,2.117033496131267,0.03884465130516086
2020-04-13,5148714,71,0,1.3789851213332107,0
2020-04-14,5148714,162,15,3.14641675571803,0.29133488478870645
2020-04-15,5148714,103,9,2.0004995422157843,0.17480093087322388
2020-04-16,5148714,275,5,5.341139554459618,0.09711162826290216
2020-04-17,5148714,168,5,3.2629507096335124,0.09711162826290216
2020-04-18,5148714,149,3,2.893926522234484,0.058266976957741294
2020-04-19,5148714,129,1,2.5054800091828757,0.01942232565258043
2020-04-20,5148714,69,3,1.3401404700280497,0.058266976957741294
2020-04-21,5148714,-7,1,-0.135956279568063,0.01942232565258043
2020-04-22,5148714,322,16,6.253988860130899,0.3107572104412869
2020-04-23,5148714,156,10,3.029882801802547,0.19422325652580433
2020-04-24,5148714,153,7,2.9716158248448057,0.135956279568063
2020-04-25,5148714,183,9,3.554285594422219,0.17480093087322388
2020-04-26,5148714,245,8,4.758469784882205,0.15537860522064345
2020-04-27,5148714,115,3,2.2335674500467495,0.058266976957741294
2020-04-28,5148714,122,15,2.3695237296148126,0.29133488478870645
2020-04-29,5148714,147,39,2.8550818709293235,0.7574707004506368
2020-04-30,5148714,213,13,4.136955363999632,0.2524902334835456
2020-05-01,5148714,163,12,3.1658390813706103,0.23306790783096518
2020-05-02,5148714,231,11,4.48655722574608,0.21364558217838472
2020-05-03,5148714,137,8,2.660858614403519,0.15537860522064345
2020-05-04,5148714,131,8,2.5443246604880363,0.15537860522064345
2020-05-05,5148714,84,13,1.6314753548167562,0.2524902334835456
2020-05-06,5148714,95,9,1.845120936995141,0.17480093087322388
2020-05-07,5148714,206,11,4.000999084431569,0.21364558217838472
2020-05-08,5148714,225,4,4.370023271830597,0.07768930261032173
2020-05-09,5148714,164,10,3.1852614070231904,0.19422325652580433
2020-05-10,5148714,122,1,2.3695237296148126,0.01942232565258043
2020-05-11,5148714,139,15,2.69970326570868,0.29133488478870645
2020-05-12,5148714,135,9,2.622013963098358,0.17480093087322388
2020-05-13,5148714,103,7,2.0004995422157843,0.135956279568063
2020-05-14,5148714,159,9,3.0881497787602883,0.17480093087322388
2020-05-15,5148714,218,9,4.234066992262534,0.17480093087322388
2020-05-16,5148714,254,0,4.933270715755429,0
2020-05-17,5148714,155,5,3.010460476149967,0.09711162826290216
2020-05-18,5148714,126,6,2.447213032225134,0.11653395391548259
2020-05-19,5148714,114,8,2.214145124394169,0.15537860522064345
2020-05-20,5148714,119,8,2.311256752657071,0.15537860522064345
2020-05-21,5148714,206,9,4.000999084431569,0.17480093087322388
2020-05-22,5148714,257,3,4.9915376927131705,0.058266976957741294
2020-05-23,5148714,257,6,4.9915376927131705,0.11653395391548259
2020-05-24,5148714,201,10,3.903887456168667,0.19422325652580433
2020-05-25,5148714,82,5,1.5926307035115952,0.09711162826290216
2020-05-26,5148714,238,6,4.622513505314142,0.11653395391548259
2020-05-27,5148714,207,20,4.020421410084149,0.38844651305160866
2020-05-28,5148714,165,4,3.2046837326757713,0.07768930261032173
2020-05-29,5148714,343,13,6.661857698835087,0.2524902334835456
2020-05-30,5148714,263,4,5.1080716466286535,0.07768930261032173
2020-05-31,5148714,467,7,9.070226079755061,0.135956279568063
2020-06-01,5148714,287,6,5.574207462290584,0.11653395391548259
2020-06-02,5148714,271,1,5.263450251849297,0.01942232565258043
2020-06-03,5148714,51,17,0.9905386082816019,0.33017953609386735
2020-06-04,5148714,56,7,1.087650236544504,0.135956279568063
2020-06-05,5148714,932,14,18.10160750820496,0.271912559136126
2020-06-06,5148714,80,6,1.5537860522064346,0.11653395391548259
2020-06-07,5148714,764,1,14.838656798571451,0.01942232565258043
2020-06-08,5148714,498,11,9.672318174985055,0.21364558217838472
2020-06-09,5148714,428,11,8.312755379304424,0.21364558217838472
2020-06-10,5148714,531,7,10.313254921520208,0.135956279568063
2020-06-11,5148714,682,13,13.246026095059856,0.2524902334835456
2020-06-12,5148714,729,5,14.158875400731134,0.09711162826290216
2020-06-13,5148714,785,6,15.246525637275637,0.11653395391548259
2020-06-14,5148714,840,1,16.314753548167563,0.01942232565258043
2020-06-15,5148714,583,2,11.323215855454391,0.03884465130516086
2020-06-16,5148714,612,5,11.886463299379223,0.09711162826290216
2020-06-17,5148714,566,10,10.993036319360524,0.19422325652580433
2020-06-18,5148714,977,4,18.97561216257108,0.07768930261032173
2020-06-19,5148714,1075,18,20.879000076523962,0.34960186174644775
2020-06-20,5148714,1148,5,22.296829849162336,0.09711162826290216
2020-06-21,5148714,905,9,17.577204715585292,0.17480093087322388
2020-06-22,5148714,1005,6,19.519437280843334,0.11653395391548259
