state,date,cases,deaths,population,ccases,cdeaths
Alabama,2021-04-02,400,54,4903185,400,54
Alabama,2021-04-03,349,30,4903185,749,84
Alabama,2021-04-04,194,0,4903185,943,84
Alabama,2021-04-05,109,1,4903185,1052,85
Alabama,2021-04-06,196,14,4903185,1248,99
Alabama,2021-04-07,338,0,4903185,1586,99
Alabama,2021-04-08,464,23,4903185,2050,122
Alabama,2021-04-09,318,11,4903185,2368,133
Alabama,2021-04-10,354,26,4903185,2722,159
Alabama,2021-04-11,311,0,4903185,3033,159
Alabama,2021-04-12,172,0,4903185,3205,159
Alabama,2021-04-13,1432,10,4903185,4637,169
Alabama,2021-04-14,277,6,4903185,4914,175
Alabama,2021-04-15,421,8,4903185,5335,183
Alabama,2021-04-16,422,3,4903185,5757,186
Alabama,2021-04-17,508,51,4903185,6265,237
Alabama,2021-04-18,270,0,4903185,6535,237
Alabama,2021-04-19,111,0,4903185,6646,237
Alabama,2021-04-20,1443,8,4903185,8089,245
Alabama,2021-04-21,412,9,4903185,8501,254
Alabama,2021-04-22,682,17,4903185,9183,271
Alabama,2021-04-23,428,16,4903185,9611,287
Alabama,2021-04-24,421,11,4903185,10032,298
Alabama,2021-04-25,233,0,4903185,10265,298
Alabama,2021-04-26,217,1,4903185,10482,299
Alabama,2021-04-27,359,2,4903185,10841,301
Alabama,2021-04-28,376,25,4903185,11217,326
Alabama,2021-04-29,430,8,4903185,11647,334
Alabama,2021-04-30,409,9,4903185,12056,343
Alabama,2021-05-01,387,17,4903185,12443,360
Alabama,2021-05-02,288,0,4903185,12731,360
Alabama,2021-05-03,187,0,4903185,12918,360
Alabama,2021-05-04,0,0,4903185,12918,360
Alabama,2021-05-05,662,17,4903185,13580,377
Alabama,2021-05-06,565,16,4903185,14145,393
Alabama,2021-05-07,314,20,4903185,14459,413
Alabama,2021-05-08,419,12,4903185,14878,425
Alabama,2021-05-09,244,0,4903185,15122,425
Alabama,2021-05-10,106,0,4903185,15228,425
Alabama,2021-05-11,310,7,4903185,15538,432
Alabama,2021-05-12,347,12,4903185,15885,444
Alabama,2021-05-13,1144,4,4903185,17029,448
Alabama,2021-05-14,4918,23,4903185,21947,471
