date,ccases,president,firstdiv,secdiff
2020-01-23,0,Trump,NA,NA
2020-01-24,1,Trump,1,NA
2020-01-25,1,Trump,0,-1
2020-01-26,4,Trump,3,3
2020-01-27,4,Trump,0,-3
2020-01-28,4,Trump,0,0
2020-01-29,5,Trump,1,1
2020-01-30,5,Trump,0,-1
2020-01-31,7,Trump,2,2
2020-02-01,7,Trump,0,-2
2020-02-02,7,Trump,0,0
2020-02-03,10,Trump,3,3
2020-02-04,10,Trump,0,-3
2020-02-05,10,Trump,0,0
2020-02-06,11,Trump,1,1
2020-02-07,11,Trump,0,-1
2020-02-08,11,Trump,0,0
2020-02-09,11,Trump,0,0
2020-02-10,11,Trump,0,0
2020-02-11,12,Trump,1,1
2020-02-12,12,Trump,0,-1
2020-02-13,13,Trump,1,1
2020-02-14,13,Trump,0,-1
2020-02-15,13,Trump,0,0
2020-02-16,13,Trump,0,0
2020-02-17,13,Trump,0,0
2020-02-18,13,Trump,0,0
2020-02-19,13,Trump,0,0
2020-02-20,13,Trump,0,0
2020-02-21,15,Trump,2,2
2020-02-22,15,Trump,0,-2
2020-02-23,15,Trump,0,0
2020-02-24,15,Trump,0,0
2020-02-25,15,Trump,0,0
2020-02-26,15,Trump,0,0
2020-02-27,16,Trump,1,1
2020-02-28,16,Trump,0,-1
2020-02-29,24,Trump,8,8
2020-03-01,31,Trump,7,-1
2020-03-02,54,Trump,23,16
2020-03-03,74,Trump,20,-3
2020-03-04,107,Trump,33,13
2020-03-05,184,Trump,77,44
2020-03-06,237,Trump,53,-24
2020-03-07,403,Trump,166,113
2020-03-08,519,Trump,116,-50
2020-03-09,594,Trump,75,-41
2020-03-10,782,Trump,188,113
2020-03-11,1150,Trump,368,180
2020-03-12,1590,Trump,440,72
2020-03-13,2223,Trump,633,193
2020-03-14,2988,Trump,765,132
2020-03-15,3232,Trump,244,-521
2020-03-16,4690,Trump,1458,1214
2020-03-17,6532,Trump,1842,384
2020-03-18,9193,Trump,2661,819
2020-03-19,13688,Trump,4495,1834
2020-03-20,20062,Trump,6374,1879
2020-03-21,26071,Trump,6009,-365
2020-03-22,34897,Trump,8826,2817
2020-03-23,46135,Trump,11238,2412
2020-03-24,56754,Trump,10619,-619
2020-03-25,68836,Trump,12082,1463
2020-03-26,86692,Trump,17856,5774
2020-03-27,105382,Trump,18690,834
2020-03-28,125012,Trump,19630,940
2020-03-29,143911,Trump,18899,-731
2020-03-30,165986,Trump,22075,3176
2020-03-31,192300,Trump,26314,4239
2020-04-01,224586,Trump,32286,5972
2020-04-02,256808,Trump,32222,-64
2020-04-03,289115,Trump,32307,85
2020-04-04,321501,Trump,32386,79
2020-04-05,351396,Trump,29895,-2491
2020-04-06,382786,Trump,31390,1495
2020-04-07,413565,Trump,30779,-611
2020-04-08,444800,Trump,31235,456
2020-04-09,480742,Trump,35942,4707
2020-04-10,515145,Trump,34403,-1539
2020-04-11,544228,Trump,29083,-5320
2020-04-12,571484,Trump,27256,-1827
2020-04-13,598423,Trump,26939,-317
2020-04-14,627241,Trump,28818,1879
2020-04-15,652649,Trump,25408,-3410
2020-04-16,682651,Trump,30002,4594
2020-04-17,715717,Trump,33066,3064
2020-04-18,743624,Trump,27907,-5159
2020-04-19,769686,Trump,26062,-1845
2020-04-20,799506,Trump,29820,3758
2020-04-21,825432,Trump,25926,-3894
2020-04-22,854343,Trump,28911,2985
2020-04-23,887955,Trump,33612,4701
2020-04-24,920282,Trump,32327,-1285
2020-04-25,950662,Trump,30380,-1947
2020-04-26,977150,Trump,26488,-3892
2020-04-27,1000865,Trump,23715,-2773
2020-04-28,1025440,Trump,24575,860
2020-04-29,1051899,Trump,26459,1884
2020-04-30,1081104,Trump,29205,2746
2020-05-01,1116011,Trump,34907,5702
2020-05-02,1143359,Trump,27348,-7559
2020-05-03,1167680,Trump,24321,-3027
2020-05-04,1191748,Trump,24068,-253
2020-05-05,1216276,Trump,24528,460
2020-05-06,1240845,Trump,24569,41
2020-05-07,1268274,Trump,27429,2860
2020-05-08,1295104,Trump,26830,-599
2020-05-09,1320280,Trump,25176,-1654
2020-05-10,1339085,Trump,18805,-6371
2020-05-11,1358383,Trump,19298,493
2020-05-12,1381310,Trump,22927,3629
2020-05-13,1401743,Trump,20433,-2494
2020-05-14,1428560,Trump,26817,6384
2020-05-15,1453293,Trump,24733,-2084
2020-05-16,1477428,Trump,24135,-598
2020-05-17,1495816,Trump,18388,-5747
2020-05-18,1518205,Trump,22389,4001
2020-05-19,1539184,Trump,20979,-1410
2020-05-20,1561909,Trump,22725,1746
2020-05-21,1587678,Trump,25769,3044
2020-05-22,1611327,Trump,23649,-2120
2020-05-23,1632426,Trump,21099,-2550
2020-05-24,1652503,Trump,20077,-1022
2020-05-25,1671165,Trump,18662,-1415
2020-05-26,1690828,Trump,19663,1001
2020-05-27,1709379,Trump,18551,-1112
2020-05-28,1731699,Trump,22320,3769
2020-05-29,1756177,Trump,24478,2158
2020-05-30,1779809,Trump,23632,-846
2020-05-31,1798792,Trump,18983,-4649
2020-06-01,1816206,Trump,17414,-1569
2020-06-02,1837708,Trump,21502,4088
2020-06-03,1857565,Trump,19857,-1645
2020-06-04,1879223,Trump,21658,1801
2020-06-05,1904626,Trump,25403,3745
2020-06-06,1925768,Trump,21142,-4261
2020-06-07,1943696,Trump,17928,-3214
2020-06-08,1961312,Trump,17616,-312
2020-06-09,1979695,Trump,18383,767
2020-06-10,2000806,Trump,21111,2728
2020-06-11,2023972,Trump,23166,2055
2020-06-12,2048800,Trump,24828,1662
2020-06-13,2074012,Trump,25212,384
2020-06-14,2092953,Trump,18941,-6271
2020-06-15,2112780,Trump,19827,886
2020-06-16,2136447,Trump,23667,3840
2020-06-17,2163519,Trump,27072,3405
2020-06-18,2192056,Trump,28537,1465
2020-06-19,2223600,Trump,31544,3007
2020-06-20,2255880,Trump,32280,736
2020-06-21,2281030,Trump,25150,-7130
2020-06-22,2313174,Trump,32144,6994
2020-06-23,2350246,Trump,37072,4928
2020-06-24,2386124,Trump,35878,-1194
2020-06-25,2426450,Trump,40326,4448
2020-06-26,2472449,Trump,45999,5673
2020-06-27,2513779,Trump,41330,-4669
2020-06-28,2554513,Trump,40734,-596
2020-06-29,2595812,Trump,41299,565
2020-06-30,2642232,Trump,46420,5121
2020-07-01,2694052,Trump,51820,5400
2020-07-02,2750688,Trump,56636,4816
2020-07-03,2802039,Trump,51351,-5285
2020-07-04,2847732,Trump,45693,-5658
2020-07-05,2898479,Trump,50747,5054
2020-07-06,2941585,Trump,43106,-7641
2020-07-07,3002246,Trump,60661,17555
2020-07-08,3062365,Trump,60119,-542
2020-07-09,3124874,Trump,62509,2390
2020-07-10,3192931,Trump,68057,5548
2020-07-11,3252948,Trump,60017,-8040
2020-07-12,3311372,Trump,58424,-1593
2020-07-13,3370302,Trump,58930,506
2020-07-14,3438353,Trump,68051,9121
2020-07-15,3506443,Trump,68090,39
2020-07-16,3582309,Trump,75866,7776
2020-07-17,3654545,Trump,72236,-3630
2020-07-18,3717081,Trump,62536,-9700
2020-07-19,3777537,Trump,60456,-2080
2020-07-20,3839644,Trump,62107,1651
2020-07-21,3904105,Trump,64461,2354
2020-07-22,3974684,Trump,70579,6118
2020-07-23,4043129,Trump,68445,-2134
2020-07-24,4116448,Trump,73319,4874
2020-07-25,4181401,Trump,64953,-8366
2020-07-26,4236217,Trump,54816,-10137
2020-07-27,4293000,Trump,56783,1967
2020-07-28,4359412,Trump,66412,9629
2020-07-29,4431285,Trump,71873,5461
2020-07-30,4498751,Trump,67466,-4407
2020-07-31,4567463,Trump,68712,1246
2020-08-01,4623664,Trump,56201,-12511
2020-08-02,4669232,Trump,45568,-10633
2020-08-03,4714733,Trump,45501,-67
2020-08-04,4773507,Trump,58774,13273
2020-08-05,4827973,Trump,54466,-4308
2020-08-06,4887322,Trump,59349,4883
2020-08-07,4946625,Trump,59303,-46
2020-08-08,5000759,Trump,54134,-5169
2020-08-09,5046528,Trump,45769,-8365
